high_taminarian_group = {
	graphical_cultures = {
		byzantine_group_coa_gfx
		western_coa_gfx
		mediterranean_building_gfx
		northern_clothing_gfx
		northern_unit_gfx
	}
	mercenary_names = {
		{ name = "mercenary_company_geezan_company" }
		{ name = "mercenary_company_tigrayit_band" }
	}
	old_obish = { # splits into Kal'Obish ##Colovian## Novar'Tali ##Nibenese## and Vayr'Obish ##Imperial## by 936
		color = { 71 86 71 }

		cadet_dynasty_names = {
			"dynn_Julio_Claudian"
			"dynn_Flavian"
			"dynn_Nerva_Antonine"
			"dynn_Severan"
			"dynn_Gordian"
			"dynn_Constantinian"
			"dynn_Valentinian"
			"dynn_Theodosian"
			"dynn_Leonid"
			"dynn_Justinian"
			"dynn_Heraclian"
			"dynn_Isaurian"
			"dynn_Nikephorian"
			"dynn_Amorian"
			"dynn_Macedonian"
			"dynn_Doukid"
			"dynn_Komnenid"
			"dynn_Angelid"
			"dynn_Laskarid"
			"dynn_Palaiologan"
		}

		dynasty_names = {
			"dynn_Julio_Claudian"
			"dynn_Flavian"
			"dynn_Nerva_Antonine"
			"dynn_Severan"
			"dynn_Gordian"
			"dynn_Constantinian"
			"dynn_Valentinian"
			"dynn_Theodosian"
			"dynn_Leonid"
			"dynn_Justinian"
			"dynn_Heraclian"
			"dynn_Isaurian"
			"dynn_Nikephorian"
			"dynn_Amorian"
			"dynn_Macedonian"
			"dynn_Doukid"
			"dynn_Komnenid"
			"dynn_Angelid"
			"dynn_Laskarid"
			"dynn_Palaiologan"
		}
		male_names = { #
		    Natalo Otho Strilian Varo Crito Antus Belisarius Berich Jesan Sergius Aebondeius Afer Albecius Allian Antonius Apelles Ariulcabor Arius Arlowe Arrinis Astius Attelivupis Audenian Augurius Aunius Bacola Baro Benunius
			Burcanius Caccian Caius Calvario Calvus Canctunian Capiton Cassius Carnius Cavortius Cidius Cimber Clagius Clasomo Clecentor Clibergus Cocistian Codus Coirtene Constans Corrudus Crassius Crottus Crulius Cunius Darius
			Depusanis Drusus Dunius Durus Duvianus Ertius Esdrufus Falco Falx Fandus Frinnius Furius Ganciele Gergio Glallian Granius Gratian Gualtierus Hasphat Ignatius Ildogesto Ilnori Iratian Iulus Jonus Larisus Larrius 
			Letreius Levus Linus Lucan Lucretinaus Lurius Luspinian Luven Malpenix Manilian Marsus Masque Matus Mecilvus Miles Molvirian Moris Murberius Murudius Mus Namanian Naspis Natalinus Nirtunus Nitterius Nolus Oritius
			Percius Pilper Pilus Plitinius Processus Procyon Pustula Raxle Reberio Rufinus Sabinus Saenus Saprius Sauleius Scelian Segunivus Seliulus Sellus Senilias Silius Sirollus Sitialius Somutis Stentus Stlubo Strillian 
			Surus Synnolian Tappius Tasellis Ticemius Tienius Tininnus Trebonius Turedus Tyronius Vala Valgus Valvius Vantustius Varian Varus Vasesius Vertilvius Vinnus Vodunius Wulf Zeno Adamus Adrian Aloys Amantius Amiel 
			Amminus Ancus Andreas Arcturus Arentus Ashtus Audens Baszone Bendu Betto Bremman Brielus Brotch Bruccius Bruscius Bruscus Caius Carius Carmalo Carodus Cartrus Casta Cicero Claudius Collatinus Contumeliorus Corvus
			Cosmus Cyronin Danus Decentius Denel Desideratus Dion Draninus Dyus Eduard Fadus Fagus Florentius Fortis Fralav Gaius Galtus Garrus Gellius Gemellus Gerich Giovanni Glenroy Gregory Haderus Helvius Helvo Herdir
			Hieronymus Hirrus Humilis Ilav Ilend Imus Iniel Inius Irlav Itius Jak Januarius Janus Jaras Jirolin Jiv John Joofy Kantav Kaslowyn Kastav Langley Laythe Lerexus Ley Lorgren Lucien Lurio Luther Malintus Marinus Marius
			Maro Martin Mattius Melus Menien Mercator Natch Nermus Nigidius Olvus Ontus Ormellius Otius Pelagius Pelinal Pennus Pinarus Piner Plautis Primo Rallus Raminus Regulus Reman Rielus Rimalus Ris Roderic Roliand Rufrius
			Savlian Servatius Severius Stantus Steffan Sulinus Surius Tahm Tertius Tertullian Toutius Trenus Tyrellius Uriel Valandrus Valus Vandorallen Vantus Velan Velus Velwyn Viator Viranus Vlanarus Vlanhonder Vlarimil Vontan
			Vontus Zedrick Adonato Adventus Aerin Agrius Alethius Aquillius Aventus Bassianus Caius Calixto Cicero Constantius Corpulus Crescius Dexion Ennodius Falx Florentius Gaius Gallus Gavros Gian Leontius Lucan Mallus 
			Marcurio Metilius Noster Orthus Paratus Pavo Plautis Proventus Quentin Quintus Reburrus Rexus Rogatus Salvianus Samuel Septimus Sergius Severio Silus Sorex Sulla Tacitus Taurinus Telrav Terek Titus Tyranus Vantus
			Varnius Venarus Verulus Xander Aberius Abnur Absolon Accalia Adonatus Aetis Agapius Ancurio Andreas Antus Appius Aquila Arentus Aretino Arlowe Arrianus Artorius Artus Aspridus Astius Atrius Augurius August Auiphion 
			Aurius Averio Azshalku Beldorr Blandus Brielus Brucus Cadwell Caecilus Caitarius Calvus Carodus Carolus Carusian Casta Castellan Cavorus Celag Celsus Chaero Cicero Cidius Cimbar Cimber Clasomo Claudius Clementus 
			Codus Collatinus Compicius Contar Cordius Coris Corloius Cosh Crassius Crispinus Crispus Decalus Decanus Decius Dirge Dobias Domitius Donus Draninus Duvianus Eburris Ennis Fabio Fabius Fabricius Falco Falx Feristyr
			Ferrus Flaminius Florentius Florus Floveran Fluvius Fortis Fralav Gadayn Gallinius Gorag Graccus Gregorius Haderus Hareld Hark Impudius Iniel Iocundus Iulianus Iulius Jadier Janius Jano Jaretius Javad Jirolin 
			Justianas Justicius Justicus Justino Kastav Laelius Larrius Larus Leono Leontius Liguro Linus Liodes Livius Lorgren Lulius Lupandinus Lupius Luven Mallius Malpenix Marcellinus Marcius Margus Marius Maro Martialis
			Martinus Martio Maxilien Maxim Medallus Mercuro Mero Molvirian Montanus Mulnus Murudius Musius Nemesianus Nemus Nepas Nepicius Nero Nerus Nicolas Nonus Novatus Nrio Nullius Octarianus Octavimus Orinthus Orland Ormax
			Otius Ovidius Panundus Paolus Paratius Paulinius Percius Perenius Petronius Philius Phrastus Pilper Pitro Pius Pixot Plautis Plautisanus Plautus Porcius Postius Priscus Quan Quentinius Ravo Reberio Reman Rexus Roliand 
			Sabinus Saevus Salanius Salano Salanus Sanctius Saulius Savilian Savio Scaevola Scarius Scelian Scipion Senilias Septius Sergianus Sergius Sergus Servatius Servius Severinus Sextus Sigilis Silus Sirollus Sorexius 
			Statius Sulinus Surus Sylvian Taminal Tappius Teldius Terenus Tersius Tertius Thalanius Tiburtius Tininnus Tinus Titus Tractus Trano Tullius Tutorius Valentinus Valton Valvius Varen Varinus Varius Varnius Ventilias
			Veranus Verel Verro Vibius Vinice Vinnus Viro Visetus Vitellus Vitrus Vitus Volgo Vyric Zelanus
			# Saint Names
			Isaac Abraham Aaron Ahijah Amos Agabus Azariah Daniel David Elijah Elisha Enoch Ezekiel Ezra Gad Gideon Habakkuk Haggai Hanani Hosea Iddo Isaiah Jacob Jehu Jeremiah Joel John Jonah Joshua Judas Job Lamech Lucius
			Malachi Manahen Melchizedek Micah Micaiah Moses Mahum Nathan Noah Obadiah Oded Philip Paul Samuel Shemaiah Silas Simeon Uriah Zechariah Zephaniah Ananias Eldad Eliezer Elihu Jahaziel Joseph Medad Nebuchadnezzar
			Saul Simeon Solomon 
			# Aramaic Names
			Aba Abahu Abaya Abaye Abayi Abba Abdima Abdisho Abgar Abimalek Abraham Abris Abrisius Acacius Achan Achina Addai
			Adlai Aggai Ahai Ahadabui Ahha Akha_d_abuh Akh_es_Samain Aqib_Alaha Asa Ashur Avahu Avda Avdima Avdimi Avina Avira Azai
			Babaeus Babai Babowai Babwahi Bar Bar_Abba Barba_shimin Bar_Nabha Bar_Talmai Bar_Timai Bar_Tolmai Bustan
			Caiaphas Cephas Cephus Chadlai Chama Chanin Chanina Chaninai Chinena Chozai Chuma Chunya Clopas
			Dadisho Denha Dikla Diklah Dimi Dinkha Dunanu Elisha Eliya Emmanuel Enosh Ezekiel Farbokht Foma Giwargis Grwgari
			Hanina Hnanisho Hozai Idan Idra Ila Isaac Isho Isho_yahb Israel Kaiapha Karna Katsiu Kelaya
			Laszio Lazar Lazare Lazaro Lazaros Lazarus Lazarz Lazer Lebbaeus Maadai Macabee Maccabee Magna Makkikha Maluch Ma_na Marabokht Maremmeh Mari Mikha_il Moqli Muna
			Nahir Nahor Nahur Narsai Nazuk Nechunya Nehor Nehorai Niv Nun Nur Oran Pappa Paul Pethion Petros Petuel Qaligh Qayyoma Raca Rachim Rahim Raka Raz Raziel Rubil
			Saad Saba Sabah Sabba_e Sabrisho Sabr_Ishu Salu Samal Sami Samiy Sagi Sargis Sava Sawma Shafer Shahdost
			Shahlufa Shai Shalmai Shama Shamir Shammai Shemaiah Shem_on Sheraga Shila Shovai Shraga Sima Sliba-zkha Surin
			Tabbai Taddai Talia Taliah Talmai Talya Tam Tam_as Ta_mhas Targhal Tauma Tavi Tavish Tevis Th_amhais Thoma Timai Tiv Toba Todos Tolmai Tomarsa Tamuza Tulmay
			Ukba Yahballaha Yanai Ya_qob Yeshua Yohannan Yosip Yousef Yunanis Zerika
			# Zhangzhung Names
			Atimuwer Berkya ChimetsukphU_ Chirum Chunmardang Dakhor Damitheke Damshe Dangwa Demdruk Denpar
			Dokchen Donla Draktsubkye Drenpa Dud Duddul Durshen Dzomar Gawagye GO_war Gurser Guwer
			Gyalwa Gyer Gyerme Gyerpung Gyung Gyungyar Harachipar Hrido Hripa Hrista JO_nwa Kalarasa Khyabpa Kuchi
			Kunla Kyabpai Kyeshe Kyichuk Kyile Labchen Lakring Lampa Langboche Larje Likmigyal Likmikya Likmur
